Ultralytics 8.3.105 🚀 Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)
video 1/1 (frame 271/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.3ms
video 1/1 (frame 272/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 16.4ms
video 1/1 (frame 273/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 14.6ms
video 1/1 (frame 274/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 14.3ms
video 1/1 (frame 275/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 14.4ms
video 1/1 (frame 276/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 15.5ms
video 1/1 (frame 277/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 11.4ms
video 1/1 (frame 278/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 12.1ms
video 1/1 (frame 279/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 10.4ms
video 1/1 (frame 280/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 16.0ms
video 1/1 (frame 281/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 12.6ms
video 1/1 (frame 282/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 11.1ms
video 1/1 (frame 283/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 11.1ms
